"date","upwelling","sahel","sahara","west_africa","central_africa","europe","north_america","south_america","north_atlantic","south_atlantic","nitrate_ug_m3"
2012-01-10,15.68,0.0125,26.8025,0.08,0,2.6825,0.0425,0,54.685,0.0125,1.428
2012-01-11,11.785,0,9.4825,0,0,0.87,0,0,77.86,0,NA
2012-01-12,23.5725,0,8.7375,0,0,0.155,0,0,67.53,0,NA
2012-01-13,16.37,0.5875,25.23,0.185,0,3.435,0.14,0,53.805,0.245,1.7942
2012-01-14,10.32,0.76,20.27,0.9725,0,4.415,0,0,63.195,0.065,1.7434
2012-01-15,14.68,2.995,32.545,6.6975,0,1.585,0,0,41.42,0.075,2.0938
2012-01-16,9.8375,2.625,65.145,0.75,0,2.84,0.05,0,18.745,0,3.5072
2012-01-17,7.7975,4.3725,57.595,2.175,0,2.1,0,0,25.96,0.0075,3.0878
2012-01-18,13.7125,2.32,24.445,1.0175,0,1.8375,1.2575,0,55.41,0,2.5937
2012-01-19,13.155,0.035,8.25,0.0175,0,12.64,9.115,0,56.78,0,1.0823
2012-01-20,0.0375,0,47.665,0,0,19.055,2.855,0,30.3875,0,1.3646
2012-01-21,0.67,0,61.01,0,0,20.155,0.2275,0,17.9375,0,0.7176
2012-01-22,0.1075,0,71.69,0,0,13.14,0.06,0,15.01,0,0.743
2012-01-23,0,0,65.585,0,0,14.445,0.01,0,19.96,0,1.1052
2012-01-24,0,0.0325,59.8725,0,0,13.4025,0,0,26.685,0.0075,1.2893
2012-01-25,1.15,0.2,64,0,0,5.7,0,0,28.95,0,1.4711
2012-01-26,6.035,1.95,65.39,0.0225,0,2.175,0,0,24.4275,0,1.3852
2012-01-27,1.8425,1.0975,49,0.1275,0,0.315,0.28,0,47.3275,0.01,1.1553
2012-01-28,0.335,0.0625,39.4575,0.035,0,2.415,0.0175,0,57.675,0,1.1922
2012-01-29,6.885,0.495,13.6275,0.4225,0,10.9525,0,0,60.395,7.22,1.3606
