"date","hono","error","low_quality_flag","no","no2","jhono","jhno3","nitrate","oh","campaign"
2019-08-15 11:00:00,NA,NA,NA,1.72447850682219,26.3734694562418,0.001381398,5.2e-07,NA,2e+06,"August 2019"
2019-08-15 12:00:00,5.66833333333333,NA,NA,0.486917406450237,22.940577818354,0.001597585,6.9e-07,NA,2e+06,"August 2019"
2019-08-15 13:00:00,5.49083333333333,NA,NA,1.60119602232489,28.8382555116879,0.001592858,7.35e-07,NA,2e+06,"August 2019"
2019-08-15 14:00:00,4.6775,NA,NA,1.37569891768035,25.9384690814072,0.001563248,7.05e-07,NA,2e+06,"August 2019"
2019-08-15 15:00:00,3.912,NA,NA,2.56226663433179,28.7086393220782,0.0015057,6.43e-07,NA,2e+06,"August 2019"
2019-08-15 16:00:00,3.0225,NA,NA,0.907250660339139,30.1608609527384,0.001262645,5.14e-07,NA,2e+06,"August 2019"
2019-08-15 17:00:00,1.514,NA,NA,2.33902629269322,25.9070540392222,0.00100038,3.37e-07,NA,2e+06,"August 2019"
2019-08-15 18:00:00,1.45333333333333,NA,NA,0.932382384436827,25.6830994912714,0.000283749994047619,8.18654642857143e-08,NA,2e+06,"August 2019"
2019-08-15 19:00:00,0.4,NA,NA,2.71943353948394,22.0521361309029,5.60757773140954e-05,1.0721456082131e-08,NA,2e+06,"August 2019"
2019-08-15 20:00:00,0.233333333333333,NA,NA,1.55444665238093,21.7145163341197,1.74329164261931e-06,2.29711117869034e-10,NA,2e+06,"August 2019"
2019-08-15 21:00:00,-0.02,NA,NA,-0.321821366988459,21.3959302952871,5.89188688888889e-08,2.01365728888889e-11,NA,2e+06,"August 2019"
2019-08-15 22:00:00,-0.13,NA,NA,-0.277802774511892,27.7673186421763,6.18349021134594e-08,2.11234958843159e-11,NA,2e+06,"August 2019"
2019-08-15 23:00:00,0.0866666666666667,NA,NA,-1.1432163997977,23.3909382754258,5.95531833333333e-08,2.04858845804989e-11,NA,2e+06,"August 2019"
2019-08-16 00:00:00,-0.343333333333333,NA,NA,-1.18069086147004,36.1179346898968,5.96137176870748e-08,2.04676664399093e-11,11078286695.9938,2e+06,"August 2019"
2019-08-16 01:00:00,0.0483333333333333,NA,NA,1.11251126991083,154.385622333005,5.94179692832764e-08,2.04256213879408e-11,11180001121.9337,2e+06,"August 2019"
2019-08-16 02:00:00,-1.2575,NA,NA,0.0386066938113899,49.3191555708855,6.34135422247446e-08,2.20557843359818e-11,11281715547.8735,2e+06,"August 2019"
2019-08-16 03:00:00,-0.542727272727273,NA,NA,-0.287740054216769,28.5500178608838,6.04014024943311e-08,2.09615139455782e-11,11383429973.8134,2e+06,"August 2019"
2019-08-16 04:00:00,NA,NA,NA,0.684205327333787,25.6235707649882,6.80802414965986e-08,2.39852684807256e-11,11485144399.7532,2e+06,"August 2019"
2019-08-16 05:00:00,NA,NA,NA,-0.250100592850011,29.5185335836313,7.08888626560726e-08,2.50025947786606e-11,11586858825.6931,2e+06,"August 2019"
2019-08-16 06:00:00,NA,NA,NA,-0.447313089646614,27.379278038826,6.27735685584563e-07,7.83545062429058e-11,11688573251.633,2e+06,"August 2019"
2019-08-16 07:00:00,NA,NA,NA,-0.0719046386319134,29.5128818300611,2.12e-05,2.49e-09,11790287677.5728,2e+06,"August 2019"
2019-08-16 08:00:00,NA,NA,NA,0.33830739491044,27.0713808258364,0.00029014,4.45e-08,11892002103.5127,2e+06,"August 2019"
2019-08-16 09:00:00,NA,NA,NA,1.25054869694607,29.7449149597703,0.000651592,1.41e-07,11993716529.4525,2e+06,"August 2019"
2019-08-16 10:00:00,NA,NA,NA,0.276290302241331,26.7089461217409,0.0011255,3.37e-07,12095430955.3924,2e+06,"August 2019"
2019-08-16 11:00:00,NA,NA,NA,2.43361416489409,27.2059476998381,0.001309235,4.94e-07,12197145381.3323,2e+06,"August 2019"
2019-08-16 12:00:00,NA,NA,NA,0.780004422620924,27.9974629300924,0.00129664,5.54e-07,12298859807.2721,2e+06,"August 2019"
2019-08-16 13:00:00,NA,NA,NA,9.92869485547957,48.4315847450509,0.001541016,7.1e-07,12400574233.212,2e+06,"August 2019"
2019-08-16 14:00:00,2.98666666666667,NA,NA,2.1803320991781,26.4353179056256,0.0014151,6.3e-07,12502288659.1518,2e+06,"August 2019"
2019-08-16 15:00:00,1.92166666666667,NA,NA,1.51025079401776,28.0733842172554,0.001425885,6.07e-07,12604003085.0917,2e+06,"August 2019"
2019-08-16 16:00:00,1.185,NA,NA,2.14899976426376,27.5409238911016,0.000994317,4.02e-07,12705717511.0315,2e+06,"August 2019"
2019-08-16 17:00:00,NA,NA,NA,2.14976063895076,26.0146803481688,0.00067466,2.33e-07,12807431936.9714,2e+06,"August 2019"
2019-08-16 18:00:00,NA,NA,NA,3.11737011100104,37.7153297894261,0.000283749994047619,8.18654642857143e-08,12909146362.9113,2e+06,"August 2019"
2019-08-16 19:00:00,1.23233333333333,NA,NA,1.35847001709231,24.3156349451476,5.60757773140954e-05,1.0721456082131e-08,13010860788.8511,2e+06,"August 2019"
2019-08-16 20:00:00,0.643,NA,NA,1.76249061970298,24.2815737498428,1.74329164261931e-06,2.29711117869034e-10,13112575214.791,2e+06,"August 2019"
2019-08-16 21:00:00,1.025,NA,NA,0.252824014876055,23.1056110439265,5.89188688888889e-08,2.01365728888889e-11,13214289640.7308,2e+06,"August 2019"
2019-08-16 22:00:00,1.15166666666667,NA,NA,0.769572519117215,22.1016541780048,6.18349021134594e-08,2.11234958843159e-11,13316004066.6707,2e+06,"August 2019"
2019-08-16 23:00:00,1.09333333333333,NA,NA,-0.611936745496251,25.9991964168382,5.95531833333333e-08,2.04858845804989e-11,13417718492.6106,2e+06,"August 2019"
2019-08-17 00:00:00,0.1625,NA,NA,0.697484846838421,24.8614862094999,5.96137176870748e-08,2.04676664399093e-11,13519432918.5504,2e+06,"August 2019"
2019-08-17 01:00:00,NA,NA,NA,-0.324090276316532,33.3631545769948,5.94179692832764e-08,2.04256213879408e-11,13644087400.7403,2e+06,"August 2019"
2019-08-17 02:00:00,NA,NA,NA,-0.218376755928386,27.5977782758921,6.34135422247446e-08,2.20557843359818e-11,13768741882.9301,2e+06,"August 2019"
2019-08-17 03:00:00,NA,NA,NA,-0.585612492465796,24.1159952027103,6.04014024943311e-08,2.09615139455782e-11,13893396365.12,2e+06,"August 2019"
2019-08-17 04:00:00,NA,NA,NA,0.625274618309553,27.510358467668,6.80802414965986e-08,2.39852684807256e-11,14018050847.3099,2e+06,"August 2019"
2019-08-17 05:00:00,NA,NA,NA,-0.822021511546822,28.2178471340518,7.08888626560726e-08,2.50025947786606e-11,14142705329.4997,2e+06,"August 2019"
2019-08-17 06:00:00,NA,NA,NA,0.293273666697259,26.4166441439903,6.27735685584563e-07,7.83545062429058e-11,14267359811.6896,2e+06,"August 2019"
2019-08-17 07:00:00,NA,NA,NA,-0.858945562333752,29.6275615275763,1.46e-05,1.79e-09,14392014293.8794,2e+06,"August 2019"
2019-08-17 08:00:00,NA,NA,NA,-0.392611076759966,24.649109393816,0.000173764,2.84e-08,14516668776.0693,2e+06,"August 2019"
2019-08-17 09:00:00,NA,NA,NA,0.594867401553668,25.4191642004079,0.000460163,1.02e-07,14641323258.2591,2e+06,"August 2019"
2019-08-17 10:00:00,NA,NA,NA,2.32608190120631,38.434905011604,0.00084302,2.56e-07,14765977740.449,2e+06,"August 2019"
2019-08-17 11:00:00,NA,NA,NA,2.924987821538,27.5282155636701,0.001058998,4.05e-07,14890632222.6389,2e+06,"August 2019"
2019-08-17 12:00:00,3.58,NA,NA,2.81493643217504,29.4483886757162,0.001199575,5.1e-07,15015286704.8287,2e+06,"August 2019"
2019-08-17 13:00:00,8.05714285714286,NA,NA,2.32800191706946,13.6462971219635,0.001550942,7.15e-07,15139941187.0186,2e+06,"August 2019"
2019-08-17 14:00:00,5.1175,NA,NA,3.07825924583501,15.1315357619206,0.00153179,6.89e-07,15264595669.2084,2e+06,"August 2019"
2019-08-17 15:00:00,3.21416666666667,NA,NA,4.04793838095359,13.6831392381358,0.001377015,5.85e-07,15389250151.3983,2e+06,"August 2019"
2019-08-17 16:00:00,4.7925,NA,NA,4.14865480198416,15.6937919735518,0.00121513,4.94e-07,15513904633.5882,2e+06,"August 2019"
2019-08-17 17:00:00,5.05,NA,NA,4.87753016210339,12.3892545016962,0.00097076,3.28e-07,15638559115.778,2e+06,"August 2019"
2019-08-17 18:00:00,3.90166666666667,NA,NA,2.30918555191901,10.9799291853387,0.000283749994047619,8.18654642857143e-08,15763213597.9679,2e+06,"August 2019"
2019-08-17 19:00:00,1.24833333333333,NA,NA,0.25761142020219,7.05494721114614,5.60757773140954e-05,1.0721456082131e-08,15887868080.1577,2e+06,"August 2019"
2019-08-17 20:00:00,1.77,NA,NA,1.23954661880977,2.77337624932577,1.74329164261931e-06,2.29711117869034e-10,16012522562.3476,2e+06,"August 2019"
2019-08-17 21:00:00,0.965,NA,NA,-0.34852518353264,5.40234012163589,5.89188688888889e-08,2.01365728888889e-11,16137177044.5374,2e+06,"August 2019"
2019-08-17 22:00:00,0.58,NA,NA,0.161432847211527,5.90023168104972,6.18349021134594e-08,2.11234958843159e-11,16261831526.7273,2e+06,"August 2019"
