"date","hono","no","no2","oh","nitrate_ug_m3","jhono","jhno3","jno2","jo1d","o3_ppb","co_ppb","rh","upwelling","sahel","sahara","west_africa","central_africa","europe","north_america","south_america","north_atlantic","south_atlantic","mass_ug_m3","chloride_ug_m3","sulfate_ug_m3","oxalate_ug_m3","bromide_ug_m3","fluoride_ug_m3","msa_ug_m3","phosphate_ug_m3","sodium_ug_m3","ammonium_ug_m3","potassium_ug_m3","magnesium_ug_m3","calcium_ug_m3","hono_err","hour","day","year","month","ocean","ss_ca","nss_ca","ss_k","nss_k","ss_mg","nss_mg","ss_so4","nss_so4","sea_salt","bb_ratio_k_ca","bb_ratio_so4_no3","aerosol"
2015-11-24 00:00:00,NA,0.103873041927989,-10.1632177454514,2e+06,0.9259,4.78233952380952e-08,1.77550979365079e-11,2.6195926984127e-07,4.42568714285714e-10,36.4,88.3,69.1,18.01,0,10.31,0,0,37.39,0,0,34.29,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,0,24,2015,11,52.3,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"other"
2015-11-24 01:00:00,NA,-0.242610055783964,-9.50939195418089,2e+06,0.9259,4.71356904761905e-08,1.75796238095238e-11,2.58058759206349e-07,4.37686714285714e-10,36.4,88.7,68.4,18.01,0,10.31,0,0,37.39,0,0,34.29,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,1,24,2015,11,52.3,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"other"
2015-11-24 02:00:00,NA,-0.182121861638085,-8.88370120436244,2e+06,0.9259,5.37324781299525e-08,2.01461156893819e-11,2.94500744849445e-07,5.02396203961965e-10,36.6,88.5,64,18.01,0,10.31,0,0,37.39,0,0,34.29,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,2,24,2015,11,52.3,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"other"
2015-11-24 03:00:00,NA,0.125404137223982,-9.88459045508405,2e+06,0.9259,5.11675071315372e-08,1.91024236133122e-11,2.80409873217116e-07,4.76372768621236e-10,35.2,89,66.5,18.01,0,10.31,0,0,37.39,0,0,34.29,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,3,24,2015,11,52.3,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"other"
2015-11-24 04:00:00,NA,-0.120414165832504,-9.19286134880435,2e+06,0.9259,6.02579904912837e-08,2.28324529318542e-11,3.29886251980983e-07,5.71725269413629e-10,34.6,89.2,71.5,18.01,0,10.31,0,0,37.39,0,0,34.29,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,4,24,2015,11,52.3,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"other"
2015-11-24 05:00:00,NA,0.370736922146968,-4.91055689135827,2e+06,0.9259,6.30465641838352e-08,2.38835847860539e-11,3.45123136291601e-07,5.98081331220285e-10,35.8,89.9,70.3,18.01,0,10.31,0,0,37.39,0,0,34.29,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,5,24,2015,11,52.3,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"other"
2015-11-24 06:00:00,NA,0.181785969406556,9.88187441112044,2e+06,0.9259,9.68814541139241e-08,2.71951297468354e-11,5.6167503164557e-07,6.5225960443038e-10,36.6,91.2,71,21.26,0,4.62,0,0,8.87,0,0,65.25,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,6,24,2015,11,86.51,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"marine"
2015-11-24 07:00:00,NA,1.42984170175821,14.15667621464,2e+06,0.9259,9.23e-06,1.22e-09,5.65e-05,2.35e-08,37.6,91.4,70.9,21.26,0,4.62,0,0,8.87,0,0,65.25,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,7,24,2015,11,86.51,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"marine"
2015-11-24 08:00:00,NA,8.49961693631723,18.253895045061,2e+06,0.9259,0.000172386,2.82e-08,0.00112498,5.98e-07,37.8,91.4,68.9,21.26,0,4.62,0,0,8.87,0,0,65.25,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,8,24,2015,11,86.51,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"marine"
2015-11-24 09:00:00,NA,14.0233492312401,103.04406443849,2e+06,0.9259,0.000634986,1.37e-07,0.0040313,3.53e-06,38,92.4,66.3,21.26,0,4.62,0,0,8.87,0,0,65.25,0,62.11,6.8307,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,NA,9,24,2015,11,86.51,0.0916060256410256,1.07349397435897,0.0916060256410256,0.0930939743589744,0.477788290598291,-0.155888290598291,0.253263717948718,2.25343628205128,12.909546,0.0867205374064297,0.410883594701494,"marine"
