"datetime_utc","hono_ppt","no_ppt","no2_ppt","mass_ug_m3","chloride_ug_m3","nitrate_ug_m3","sulfate_ug_m3","oxalate_ug_m3","msa_ug_m3","sodium_ug_m3","ammonium_ug_m3","potassium_ug_m3","magnesium_ug_m3","calcium_ug_m3"
2019-08-15 13:00:00,5.49083333333333,1.63245918327854,28.4064314474473,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 14:00:00,4.6775,1.48314763712342,26.6191374488134,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 15:00:00,3.912,2.76784037538195,28.7086393220782,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 16:00:00,3.0225,0.871078808674602,29.0903648270531,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 17:00:00,1.514,2.47371124915172,26.294067393063,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 18:00:00,1.45333333333333,0.997000028280397,26.1233910360437,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 19:00:00,0.4,2.63895709385637,21.8094878542018,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 20:00:00,0.233333333333333,1.62636407157848,21.3197027656405,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 21:00:00,-0.02,-0.260571800854678,21.6480045789782,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 22:00:00,-0.13,-0.221951011243165,27.9237425837056,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-15 23:00:00,0.0866666666666667,-1.138933718701,23.3965709283961,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-16 00:00:00,-0.343333333333333,-1.51661767524524,35.1492493869213,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2
2019-08-16 01:00:00,0.0483333333333333,1.16626385487046,146.911840153419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-16 02:00:00,-1.2575,0.205311779574869,54.4931604916226,33.62,8.42,1.14,2.53,0.18,0.06,5.61,0.05,0.21,0.69,0.24
2019-08-16 03:00:00,-0.542727272727273,-0.086892406020166,28.6291236357179,33.62,8.42,1.14,2.53,0.18,0.06,5.61,0.05,0.21,0.69,0.24
