"date","no","oh","hono","hour","jhono","jhno3"
2023-02-01 00:00:00,NA,NA,NA,NA,NA,NA
2023-02-01 01:00:00,NA,NA,NA,NA,NA,NA
2023-02-01 02:00:00,NA,NA,NA,NA,NA,NA
2023-02-01 03:00:00,NA,NA,NA,NA,NA,NA
2023-02-01 04:00:00,NA,NA,NA,NA,NA,NA
2023-02-01 05:00:00,NA,NA,NA,NA,NA,NA
2023-02-01 06:00:00,NA,NA,NA,NA,NA,NA
2023-02-01 07:00:00,NA,NA,NA,NA,NA,NA
2023-02-01 08:00:00,NA,NA,NA,8,0.000434315,7.28e-08
2023-02-01 09:00:00,NA,NA,NA,9,0.001055454,2.26e-07
2023-02-01 10:00:00,NA,NA,NA,10,0.001368094,4e-07
2023-02-01 11:00:00,NA,NA,NA,11,0.001568781,5.68e-07
2023-02-01 12:00:00,NA,NA,NA,12,0.00162803,6.56e-07
2023-02-01 13:00:00,NA,NA,NA,13,0.00162597,6.58e-07
2023-02-01 14:00:00,NA,NA,NA,14,0.001569126,6.09e-07
2023-02-01 15:00:00,NA,NA,NA,15,0.001386112,4.85e-07
2023-02-01 16:00:00,NA,NA,NA,16,0.000911872,2.73e-07
2023-02-01 17:00:00,NA,NA,NA,17,0.000421543,9.55e-08
2023-02-01 18:00:00,NA,NA,NA,18,5.15e-05,8.14e-09
2023-02-01 19:00:00,NA,NA,NA,19,4.48e-08,1.93e-11
2023-02-01 20:00:00,NA,NA,NA,20,-3.63e-08,-1.15e-11
2023-02-01 21:00:00,NA,NA,NA,21,8.33e-10,1.4e-12
2023-02-01 22:00:00,NA,NA,NA,22,-3.29e-08,-8.4e-12
2023-02-01 23:00:00,NA,NA,NA,23,-7.63e-09,-4.81e-13
2023-02-02 00:00:00,NA,NA,NA,0,-1.44e-08,-2.21e-12
2023-02-02 01:00:00,NA,NA,NA,1,9.23e-09,4.13e-12
2023-02-02 02:00:00,NA,NA,NA,2,6.56e-08,2.02e-11
2023-02-02 03:00:00,NA,NA,NA,3,5.02e-08,1.59e-11
2023-02-02 04:00:00,NA,NA,NA,4,8.41e-09,3.81e-12
2023-02-02 05:00:00,NA,NA,NA,5,2.98e-08,9.47e-12
2023-02-02 06:00:00,NA,NA,NA,6,7.7e-08,1.59e-11
2023-02-02 07:00:00,NA,NA,NA,7,6.31e-05,7.57e-09
2023-02-02 08:00:00,NA,NA,NA,8,0.000474763,7.1e-08
2023-02-02 09:00:00,NA,NA,NA,9,0.00092477,2.01e-07
2023-02-02 10:00:00,NA,NA,NA,10,0.001466263,4.18e-07
2023-02-02 11:00:00,NA,NA,NA,11,0.001450788,5.14e-07
2023-02-02 12:00:00,NA,NA,NA,12,0.001555098,6.17e-07
2023-02-02 13:00:00,NA,NA,NA,13,0.001426533,5.74e-07
2023-02-02 14:00:00,NA,NA,NA,14,0.001400594,5.42e-07
2023-02-02 15:00:00,NA,NA,NA,15,0.001148628,4.06e-07
2023-02-02 16:00:00,NA,NA,NA,16,0.000744624,2.27e-07
2023-02-02 17:00:00,NA,13788.2366666666,NA,17,0.000443947,9.86e-08
2023-02-02 18:00:00,NA,1324870.5370625,NA,18,5.71e-05,9.14e-09
2023-02-02 19:00:00,NA,214020.6246,NA,19,5.3e-08,2.67e-11
2023-02-02 20:00:00,NA,27931.0794928571,NA,20,5.2e-08,1.94e-11
2023-02-02 21:00:00,NA,-783815.081067857,NA,21,5.91e-08,1.81e-11
2023-02-02 22:00:00,NA,-770278.8719,NA,22,-4.93e-09,-9.14e-13
2023-02-02 23:00:00,NA,-392564.6958375,NA,23,2.72e-08,9.29e-12
2023-02-03 00:00:00,NA,161503.4122125,NA,0,1.39e-08,4.57e-12
2023-02-03 01:00:00,NA,383477.318195833,NA,1,-1.62e-08,-3.56e-12
2023-02-03 02:00:00,NA,284418.701339881,NA,2,7.34e-08,2.28e-11
2023-02-03 03:00:00,NA,141829.942889286,NA,3,5.86e-08,1.82e-11
2023-02-03 04:00:00,-0.313543343229588,16314.6815464286,NA,4,3.14e-08,1.03e-11
2023-02-03 05:00:00,0.926850699514285,-109200.579796429,NA,5,2.98e-08,1.04e-11
2023-02-03 06:00:00,0.236404516244423,-121610.04725,NA,6,1.01e-07,1.98e-11
2023-02-03 07:00:00,1.95697328242469,-471913.257013158,NA,7,7.5e-05,8.75e-09
2023-02-03 08:00:00,1.82278501573187,-1002077.40407895,NA,8,0.000475485,7.11e-08
2023-02-03 09:00:00,2.21507474943152,-743088.326815789,NA,9,0.00105801,2.22e-07
2023-02-03 10:00:00,4.15444464170296,-484099.249552631,NA,10,0.001490238,4.28e-07
2023-02-03 11:00:00,3.89343725491422,-225110.172289474,NA,11,0.001489148,5.29e-07
2023-02-03 12:00:00,2.70394512993532,33878.9049736845,NA,12,0.001640425,6.43e-07
2023-02-03 13:00:00,3.30137722660519,292867.982236842,NA,13,0.001513255,6.1e-07
2023-02-03 14:00:00,2.4494129953054,551857.0595,NA,14,0.001301098,5.01e-07
2023-02-03 15:00:00,3.54132720178088,810846.136763158,NA,15,0.001131917,3.97e-07
2023-02-03 16:00:00,2.3909617114055,1069835.21402632,NA,16,0.000876858,2.6e-07
2023-02-03 17:00:00,3.27351135916431,-335815.559925,NA,17,0.000367415,8.36e-08
2023-02-03 18:00:00,0.395821873329009,-277369.72119125,NA,18,5.56e-05,8.74e-09
2023-02-03 19:00:00,-0.52464173724133,-182327.67191,NA,19,1.91e-08,5.01e-12
2023-02-03 20:00:00,-0.0992935720194825,690934.6240225,NA,20,-4.32e-09,1.67e-12
2023-02-03 21:00:00,-0.443715445744327,1096894.1122125,NA,21,6.09e-08,1.9e-11
2023-02-03 22:00:00,0.867172435414915,1525139.698875,NA,22,5.17e-09,3.19e-12
2023-02-03 23:00:00,0.347775482578711,2483298.52325,NA,23,2.29e-08,7.51e-12
2023-02-04 00:00:00,0.770160037159707,2520452.555375,NA,0,5.64e-08,1.71e-11
2023-02-04 01:00:00,1.21845553741432e-05,1125582.53096875,NA,1,3.02e-08,9.67e-12
2023-02-04 02:00:00,1.64558630805512,-93760.6743125,NA,2,1.47e-08,5.34e-12
2023-02-04 03:00:00,-0.362045271929205,795574.09804375,NA,3,3.25e-08,1.07e-11
2023-02-04 04:00:00,0.173670003418925,861613.3630125,NA,4,4.61e-08,1.43e-11
2023-02-04 05:00:00,0.761984643973046,1719018.47425,NA,5,1.23e-08,4.46e-12
2023-02-04 06:00:00,-2.56808988399398,1531058.667825,NA,6,4.11e-08,2.66e-12
2023-02-04 07:00:00,NA,2371859.43191353,NA,7,5.91e-05,7.64e-09
2023-02-04 08:00:00,-0.499978636151137,2365176.05834962,NA,8,0.000466649,6.91e-08
2023-02-04 09:00:00,-1.93110871970958,2358492.68478571,NA,9,0.000818343,1.72e-07
2023-02-04 10:00:00,0.423310250161301,2351809.3112218,NA,10,0.001089983,3.22e-07
2023-02-04 11:00:00,1.95615481763592,2345125.93765789,NA,11,0.001470111,5.2e-07
2023-02-04 12:00:00,5.58493710816823,2338442.56409399,NA,12,0.001551206,6.12e-07
2023-02-04 13:00:00,4.01335979872234,2331759.19053008,NA,13,0.001528383,6.12e-07
2023-02-04 14:00:00,3.1426832088916,2325075.81696617,NA,14,0.001459004,5.55e-07
