"day","nitrate_ug_m3","rh","nitrate_molecules","missing_production","jhno3","f_calc","f_para","ratio"
1,NA,78.7166666666667,NA,48499.3393342002,5.20166666666667e-07,NA,NA,NA
2,1.9469,75.9833333333333,18908831365.7183,30070.736191255,5.10666666666667e-07,3.11416673507315,8.38863210262711,0.371236537372747
3,2.29098333333333,81.7,22250663881.9001,53172.4446053859,5.00833333333333e-07,4.77145056000187,6.63628610266906,0.718994100944929
4,2.3598,72.7666666666667,22919030385.1364,NA,3.91666666666667e-07,NA,7.23485917725253,NA
24,0.9259,66.3833333333333,8992596929.23037,NA,5.225e-07,NA,20.0487903231923,NA
25,0.9259,69.25,8992596929.23037,73500.568612776,5.18e-07,15.7788668519915,19.2188524325571,0.821009834346914
26,0.9259,71.55,8992596929.23037,71048.1814978606,4.82666666666667e-07,16.3689390525926,18.6010556387782,0.880000542467481
27,1.12456666666667,73.45,10922102552.5235,60235.4923343295,3.99666666666667e-07,13.7990213315437,14.9539738528453,0.922766180236313
28,1.1643,79.8,11308003677.1821,2831.28689000763,1.899e-07,1.31847825690768,13.2992960374941,0.0991389509031564
29,1.1643,79.6833333333333,11308003677.1821,99568.0705303815,5.12833333333333e-07,17.1695101323608,13.3187679204187,1.28912150395222
30,1.1643,83.05,11308003677.1821,67230.3869909817,5.05833333333333e-07,11.7536356810097,12.7788539890672,0.919772280915441
