"day","month","year","hono_ppt","uva_rad_wm2","press_hpa","rh","temp_c","wd","ws","o3_mean_ppb","o3_std_ppb","co_mean_ppb","co_std_ppb","jhono","jhno3","mass_ug_m3","chloride_ug_m3","nitrate_ug_m3","sulfate_ug_m3","oxalate_ug_m3","bromide_ug_m3","fluoride_ug_m3","msa_ug_m3","phosphate_ug_m3","sodium_ug_m3","ammonium_ug_m3","potassium_ug_m3","magnesium_ug_m3","calcium_ug_m3","dp_um","oh","nitrate","no","no2","upwelling","sahel","sahara","west_africa","central_africa","europe","north_america","south_america","north_atlantic","south_atlantic","lifetime","h","kdep","production_without_nitrate","loss","loss_hono","missing_production","f_calc","f_para","ratio"
1,12,2015,1.70055555555556,610.533333333333,1017.15,78.7166666666667,25.0666666666667,36.6166666666667,6.73333333333333,35.7833333333333,0.433333333333333,102.15,1.01666666666667,0.00122798683333333,5.20166666666667e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+06,NA,3.96395411640099,0.18446536810937,1.85,0,28.65,0,0,12.38,0,0,57.12,0,828.917215022076,248.675164506623,4.09328944444444e-05,6435.87590338864,0.00128091972777778,54935.2152375889,48499.3393342002,NA,NA,NA
2,12,2015,1.35819444444445,596.283333333333,1016.45,75.9833333333333,24.9666666666667,55.0333333333333,4.46666666666667,40,0.4,105.4,1.05,0.00120674066666667,5.10666666666667e-07,214.49,11.2502,1.9469,8.0751,0.1501,0.0174,0.0059,0.0202,0.0192,6.9759,0.017,0.4035,0.636,3.9869,10,2e+06,18957054606.2319,8.07302835879494,12.3097499782728,29.75,0,16.78,0,0,6.49,0.22,0,46.76,0,845.301335580694,253.590400674208,4.02246888888889e-05,13107.3688433395,0.00125896535555556,43178.1050345945,30070.736191255,3.11416673507315,8.38863210262711,0.371236537372747
3,12,2015,1.91105555555556,580.933333333333,1015.88333333333,81.7,24.5166666666667,34.8833333333333,5.8,38.1833333333333,0.95,106.033333333333,1.13333333333333,0.0011845445,5.00833333333333e-07,310.373333333333,9.54253333333333,2.29098333333333,6.21635,0.16735,0.0145666666666667,0.00681666666666667,0.02045,0.0168666666666667,5.85131666666667,0.0484166666666667,0.402583333333333,0.5905,3.2959,10,2e+06,22978383515.8861,4.87178972647698,8.23747891058465,7.21,4.52,51.67,0,0,6.14,0,0,30.46,0,860.714563126799,258.21436893804,3.94848166666667e-05,7909.83779990803,0.00123602931666667,61082.2824052939,53172.4446053859,4.77145056000187,6.63628610266906,0.718994100944929
4,12,2015,NA,416.183333333333,1015.85,72.7666666666667,24.8166666666667,50.1,5.8,30.85,0.883333333333333,103.1,1.13333333333333,0.0009399325,3.91666666666667e-07,329.55,9.201,2.3598,5.8446,0.1708,0.014,0.007,0.0205,0.0164,5.6264,0.0547,0.4024,0.5814,3.1577,10,2e+06,20993345811.038,3.11931553084181,-2.6503464007449,9.3,0.7,62.11,0,0,6.84,0,0,21.05,0,1137.42018423242,341.226055269727,3.13310833333333e-05,5064.52069587476,0.000983263583333333,NA,NA,NA,7.23485917725253,NA
24,11,2015,NA,615.55,1014.86666666667,66.3833333333333,24.6,63.5333333333333,8.58333333333333,39.6833333333333,0.45,99.15,1.2,0.001230524,5.225e-07,62.11,6.8307,0.9259,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,10,2e+06,NA,9.71260391182393,12.5285715029559,11.91,0,9.89,0,0,6.29,0,0,71.91,0,847.19245165823,254.157735497469,4.10174666666667e-05,15769.3837112373,0.00128354146666667,NA,NA,NA,20.0487903231923,NA
25,11,2015,2.5736507936508,611.3,1016.11666666667,69.25,24,50.75,8.68333333333333,40.9333333333333,0.266666666666667,104.9,0.866666666666667,0.001224488,5.18e-07,62.11,6.8307,0.9259,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,10,2e+06,NA,6.72837281587131,5.86417684382555,16.07,0,1.79,0,0,0,20.15,0,61.99,0,850.440989014412,255.132296704324,4.08162666666667e-05,10924.1861038487,0.00127730426666667,84424.7547166247,73500.568612776,15.7788668519915,19.2188524325571,0.821009834346914
26,11,2015,2.60809343434344,552.783333333333,1015.26666666667,71.55,24.1833333333333,43.3333333333333,6.65,37.2333333333333,0.45,100.816666666667,0.883333333333333,0.0011423555,4.82666666666667e-07,62.11,6.8307,0.9259,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,10,2e+06,NA,4.55452485974646,2.04448368658642,13.56,0,32.81,0,0,11.15,0.74,0,41.75,0,901.392354872489,270.417706461747,3.80785166666667e-05,7394.72656228435,0.00119243401666667,78442.908060145,71048.1814978606,16.3689390525926,18.6010556387782,0.880000542467481
27,11,2015,2.65226190476191,427.566666666667,1013.75,73.45,23.6666666666667,35.5,7.25,40.4333333333333,0.3,106.683333333333,0.95,0.000957701,3.99666666666667e-07,40.5933333333333,4.03345,1.12456666666667,1.67495,0.0725333333333333,0.00635,0.00151666666666667,0.0154166666666667,0.00273333333333333,2.57643333333333,0.00633333333333333,0.147866666666667,0.238233333333333,0.793016666666667,10,2e+06,NA,3.52672722464893,2.75114560887144,24.66,0,14.14,3.45,0,1.9,3.97,0,51.9,0,1123.08778118656,336.926334355967,3.19233666666667e-05,5725.99432194,0.00100162436666667,65961.4866562695,60235.4923343295,13.7990213315437,14.9539738528453,0.922766180236313
28,11,2015,0.323287878787879,108.35,1014.46666666667,79.8,23.7833333333333,44.7666666666667,3.06666666666667,38.0333333333333,0.266666666666667,106.1,2.2,0.000493657666666667,1.899e-07,36.29,3.474,1.1643,1.5086,0.0693,0.0056,0.0014,0.0147,0.0026,2.2511,0.0055,0.1405,0.2215,0.7186,10,2e+06,NA,0.864256848800802,-3.34329599536473,14.97,2.84,30.32,15.48,0,1.68,0,0,34.71,0,2312.93413113312,693.880239339935,1.64552555555556e-05,1403.20741971298,0.000522112922222222,4234.49430972061,2831.28689000763,1.31847825690768,13.2992960374941,0.0991389509031564
29,11,2015,3.60586111111111,598.416666666667,1016.31666666667,79.6833333333333,25.2,77.9,2.6,38.1666666666667,0.383333333333333,107.6,1.56666666666667,0.00121286383333333,5.12833333333333e-07,36.29,3.474,1.1643,1.5086,0.0693,0.0056,0.0014,0.0147,0.0026,2.2511,0.0055,0.1405,0.2215,0.7186,10,2e+06,NA,8.97024420165181,18.2083763898933,9.94,4.09,5.46,15.98,0,9.55,0.19,0,50.29,4.48,839.712235737554,251.913670721266,4.04287944444444e-05,14564.0884858019,0.00126529262777778,114132.159016183,99568.0705303815,17.1695101323608,13.3187679204187,1.28912150395222
30,11,2015,2.2607398989899,591.45,1018.28333333333,83.05,24.8,34.75,5.38333333333333,37,0.25,102.483333333333,1.2,0.001200091,5.05833333333333e-07,36.29,3.474,1.1643,1.5086,0.0693,0.0056,0.0014,0.0147,0.0026,2.2511,0.0055,0.1405,0.2215,0.7186,10,2e+06,NA,2.6445442085526,-3.1409826873012,0,1.15,6.15,10,0,1.15,0,0,80.77,0.77,843.669875868427,253.100962760528,4.00030333333333e-05,4293.68197700601,0.00125209403333333,71524.0689679878,67230.3869909817,11.7536356810097,12.7788539890672,0.919772280915441
