"day","month","year","oh","nitrate","no","no2","upwelling","sahel","sahara","west_africa","central_africa","europe","north_america","south_america","north_atlantic","south_atlantic","hono_ppt","error_ppt","uva_rad_wm2","press_hpa","rh","temp_c","wd","ws","o3_mean_ppb","o3_std_ppb","co_mean_ppb","co_std_ppb","jhono","jhno3","mass_ug_m3","chloride_ug_m3","nitrate_ug_m3","sulfate_ug_m3","oxalate_ug_m3","msa_ug_m3","sodium_ug_m3","ammonium_ug_m3","potassium_ug_m3","magnesium_ug_m3","calcium_ug_m3","dp_um","lifetime","h","kdep","production_without_nitrate","loss","loss_hono","missing_production","f_calc","f_para","ratio"
15,8,2019,2e+06,NA,1.61160305866904,28.4115562169779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.27570833333333,1.48447916666667,786.625,1013.85,84.775,25.25,104.475,8.3,28.875,0.775,NA,99.9,0.001481115,6.4925e-07,31.47,9.38,0.71,2.24,0.11,0.05,5.9,0.03,0.2,0.71,0.2,10,680.905636525956,204.271690957787,4.93705e-05,2616.59872605506,0.0015424855,164998.056682583,162381.457956528,36.269793740395,20.3906509524001,1.77874624135655
16,8,2019,2e+06,NA,3.1636493500757,30.9474368981607,0,0,0,0,0,0,0.96,0,99.04,0,2.03111111111111,1.26527777777778,681.883333333333,1012.95,82.6,25.05,36.0333333333333,7.33333333333333,36.8833333333333,0.416666666666667,NA,99.9,0.00133036833333333,5.66166666666667e-07,33.62,8.42,1.14,2.53,0.18,0.06,5.61,0.05,0.21,0.69,0.24,10,766.273248230295,229.881974469089,4.43456111111111e-05,5136.50108478291,0.00138671394444444,69613.0748021112,66452.6926678941,10.6008915570942,13.1193798970808,0.808032974138739
17,8,2019,2e+06,NA,3.22379643325921,19.1885613891597,11.46,0,0,0,0,1.11,0,0,87.43,0,4.95226190476191,1.55661904761905,670.3,1012,76.35,25.6,48.6666666666667,4.1,32.5166666666667,0.383333333333333,NA,99.9,0.00132224333333333,5.66333333333333e-07,34.53,5.11,1.39,2.33,0.18,0.05,3.93,0,0.15,0.5,0.57,10,770.779419111881,231.233825733564,4.40747777777778e-05,5234.15588903965,0.00137831811111111,178787.044566038,173455.8595446,22.6872056322349,11.6633053049936,1.94517806393368
18,8,2019,2e+06,NA,2.9640525926878,10.9268282662229,16.01,0.13,5.03,0,0,12.17,0,0,64.95,1.72,NA,NA,752,1012.76666666667,84.3666666666667,26.2833333333333,72.15,3.98333333333333,23.3166666666667,0.316666666666667,NA,99.9,0.00143905166666667,6.15666666666667e-07,46.61,5.36,1.7,2.95,0.19,0.06,4.07,0,0.17,0.48,0.92,10,701.096520705873,210.328956211762,4.79683888888889e-05,4812.43578948791,0.00149902005555556,NA,NA,NA,8.64433267507989,NA
19,8,2019,2e+06,NA,4.19052028661859,8.11329544515042,13.77,0.08,4.32,0,0,8.25,0,0,63.57,10.01,4.15,1.478,765.966666666667,1014.11666666667,85.5666666666667,26.3,59.3,3.18333333333333,17.3333333333333,0.2,NA,99.9,0.00145789833333333,6.23e-07,50.02,4.52,1.57,2.87,0.16,0.05,3.27,0,0.15,0.39,1.06,10,691.75002078297,207.525006234891,4.85966111111111e-05,6803.72873735394,0.00151849494444444,130617.51915,122965.751124252,12.9442062515792,9.22326820782525,1.40342945254449
20,8,2019,2e+06,NA,4.64774701730718,13.636790803039,0,0,1.08,0,0,2.78,0,0,96.14,0,3.32191666666667,1.39383333333333,719.116666666667,1013.46666666667,87.4,26.0833333333333,25.55,5.33333333333333,18.9,0.433333333333333,NA,99.9,0.00138008,5.90166666666667e-07,39.69,4.35,1.6,2.68,0.15,0.05,3.34,0,0.14,0.39,0.75,10,760.426050386648,228.127815115994,4.60026666666667e-05,7546.08205729993,0.00143808266666667,114062.283477417,106215.160451711,11.5816598821499,8.86180029528937,1.30691953059542
21,8,2019,2e+06,NA,1.35500332106784,8.60041081861851,18.81,0,0,0,0,0.15,0,0,81.04,0,4.95479166666667,1.55347222222222,650.016666666667,1012.48333333333,83.5333333333333,25.6166666666667,26.8,6.35,27.2,0.383333333333333,NA,99.9,0.00129324833333333,5.54833333333333e-07,37.36,9.82,1.39,2.52,0.11,0.06,6.13,0.03,0.22,0.77,0.53,10,794.923264600955,238.476979380287,4.31082777777778e-05,2199.98339208575,0.00134835661111111,167851.902213361,165651.918821275,22.1155672013832,10.6603355151987,2.07456577420594
22,8,2019,2e+06,NA,3.86918286780988,7.16565521294164,1.54,0,0,0,0,0,0,0,98.46,0,7.76933333333333,1.83933333333334,799.733333333333,1011.1,78.9166666666667,25.4666666666667,29.85,7.65,25.4333333333333,0.666666666666667,NA,99.9,0.00150772833333333,6.45166666666667e-07,27.47,7.7,0.83,1.73,0.09,0.04,4.81,0,0.17,0.59,0.2,10,667.412645089398,200.223793526819,5.02576111111111e-05,6282.00530417613,0.00156998594444444,283150.925515867,278828.063070102,53.6124216981019,18.7843928438182,2.85409393552719
23,8,2019,2e+06,NA,2.0888615405398,7.95219823135799,9.93,0,0,0,0,0.97,0,0,89.1,0,1.75,1.23714285714286,503.3,1011.85,85.6333333333333,25.4,111.05,4.1,28.8666666666667,0.383333333333333,NA,99.9,0.00107338166666667,4.55666666666667e-07,40.51,6.47,1.09,2.26,0.14,0.04,4.26,0,0.15,0.49,0.95,10,981.394460787595,294.418338236278,3.57793888888889e-05,3391.47559722042,0.00112116105555556,39536.1729,36484.2728034274,7.56329244032498,13.228573922334,0.571739061574563
24,8,2019,2e+06,NA,14.675025092169,47.0177529915942,14.05,0,0,0,0,0,0,0,80.61,5.34,NA,NA,679.283333333333,1012.4,89.2666666666667,25.5166666666667,46.1,2.71666666666667,23.1666666666667,0.833333333333333,NA,99.9,0.00131949666666667,5.68166666666667e-07,30.11,2.98,0.74,2.17,0.12,0.03,1.9,0,0.07,0.23,0.74,10,848.473282981153,254.541984894346,4.39832222222222e-05,23826.3707396457,0.00137547988888889,NA,NA,NA,18.5926226986854,NA
25,8,2019,2e+06,NA,NA,NA,30.53,0,0,0,0,0.81,0,0,67.66,1,NA,NA,382.683333333333,1012.16666666667,86.15,26.5333333333333,149.95,1.43333333333333,18.6,0.316666666666667,NA,99.9,0.000893633333333333,3.75333333333333e-07,30.49,4.06,0.99,2.17,0.1,0.04,2.56,0,0.09,0.3,0.76,10,1191.93977879756,357.581933639268,2.97877777777778e-05,NA,0.000935421111111111,NA,NA,NA,14.460897324752,NA
26,8,2019,2e+06,NA,NA,NA,12.14,0,0,0,0,0.21,0,0,86.46,1.2,NA,NA,410.316666666667,1012.28333333333,81.55,27.35,129.9,1.9,18.1166666666667,0.583333333333333,NA,99.9,0.000953371666666667,3.94666666666667e-07,29.52,3.48,1.27,2,0.09,0.02,2.35,0,0.08,0.27,0.64,10,1105.67505429868,331.702516289604,3.17790555555556e-05,NA,0.000997150722222222,NA,NA,NA,11.9413253972845,NA
27,8,2019,2e+06,NA,76.7835520201963,97.1336552504099,2.07,1.07,2.31,0,0,8.68,0,0,85.12,0.74,NA,NA,717.65,1012.78333333333,82.8833333333333,26.9166666666667,41.4666666666667,3.23333333333333,17.55,0.766666666666667,NA,99.9,0.00138480666666667,5.86e-07,30.43,2.93,1.2,1.81,0.11,0.03,2.21,0,0.09,0.26,0.64,10,743.071859758265,222.921557927479,4.61602222222222e-05,124665.775059991,0.00144296688888889,NA,NA,NA,12.427538852774,NA
28,8,2019,2e+06,NA,3.70988931277697,11.0750619435936,0,0,0.9,0,0,20.34,0,0,78.76,0,4.865,1.54854166666667,722.866666666667,1012.11666666667,84.5333333333333,27,35.7,3.86666666666667,27.9333333333333,0.5,NA,99.9,0.00139396666666667,5.94166666666667e-07,274.76,6.72,2.41,5.8,0.51,0.05,4.65,0,0.39,0.54,4.44,10,724.020948692712,217.206284607814,4.64655555555556e-05,6023.37628822469,0.00145243222222222,171986.086324958,167100.872695865,12.0152371772438,6.09874324921775,1.97011690544358
