"date","jhno3","jno2_norm","f_calc_no2","f_calc_hno3","f_para","hono_ppt","hono_para_hno3","hono_para_no2","hono_ratio_no2","hono_ratio_hno3","uva_rad_wm2","press_hpa","rh","temp_c","wd","ws","o3_mean_ppb","co_mean_ppb","mass_ug_m3","chloride_ug_m3","nitrate_ug_m3","sulfate_ug_m3","oxalate_ug_m3","bromide_ug_m3","fluoride_ug_m3","msa_ug_m3","phosphate_ug_m3","sodium_ug_m3","ammonium_ug_m3","potassium_ug_m3","magnesium_ug_m3","calcium_ug_m3","dp_um","no_ppt","no2_ppt","oh_m_cm3","jhono","jno2","jo1d","upwelling","sahel","sahara","west_africa","central_africa","europe","north_america","south_america","north_atlantic","south_atlantic","hour","day","year","month","error_ppt","conc1","conc2","conc3","conc4","conc5","conc6","dp_um_pm1","mass_ug_m3_pm1","chloride_ug_m3_pm1","nitrate_ug_m3_pm1","sulfate_ug_m3_pm1","oxalate_ug_m3_pm1","msa_ug_m3_pm1","sodium_ug_m3_pm1","ammonium_ug_m3_pm1","potassium_ug_m3_pm1","magnesium_ug_m3_pm1","calcium_ug_m3_pm1","a","b","lifetime","h","kdep","nitrate_m_cm3","production_without_nitrate","loss","missing_production","ratio_f_no2","ratio_f_hno3"
2015-11-25,5.59e-07,5.97837418050857e-07,15.3074904290454,16.1942049134984,19.2473615275351,2.7808809526,3.20664738347309,3.41072142486012,0.814589383277881,0.858194812765892,662.74,1016.34,69.16,24,50.7935987277706,8.82,41.18,104.92,62.11,6.8307,0.9259,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,10,6.98582813528126,6.23188544897233,2e+06,0.0013129814,0.0082281354,2.982e-05,16.07,0,1.79,0,0,0,20.15,0,61.99,0,13,25,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26578992663019e-05,-1.61499183611975e-12,764.781579016481,229.434473704944,4.37660466666667e-05,8992596929.23037,11342.1905604427,95106.1472176785,83763.9566572358,0.792732730252701,0.838881240190466
2015-11-26,5.158e-07,5.52447941189719e-07,15.3171041438365,16.1163951238137,18.5888087997833,2.679878788,2.99860422325004,3.20480977757693,0.836979309665649,0.878522700141792,591.42,1015.52,71.6,24.12,44.4139064462787,6.76,37.48,100.72,62.11,6.8307,0.9259,2.5067,0.0887,0.0101,0.0021,0.019,0.0034,4.2031,0.0105,0.1847,0.3219,1.1651,10,4.51181163093455,2.07400720995105,2e+06,0.0012125626,0.0076034342,2.752e-05,13.56,0,32.81,0,0,11.15,0.74,0,41.75,0,13,26,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26578992663019e-05,-1.61499183611975e-12,828.928572397056,248.678571719117,4.04187533333333e-05,8992596929.23037,7325.37736398533,84950.141955525,77624.7645915397,0.824805278351062,0.867710058048785
2015-11-27,4.39e-07,4.77790540130348e-07,12.7544210719688,13.8419006011715,15.1768987955505,2.6873809526,2.8722767121414,3.11192846897315,0.861788134489079,0.927347505136716,473.48,1013.94,73.48,23.7,35.0206331884245,7.26,40.48,106.76,41.454,4.14534,1.11662,1.70822,0.07318,0.0065,0.00154,0.01556,0.00276,2.6415,0.0065,0.14934,0.24158,0.8079,10,3.4627832325034,3.13004711309319,2e+06,0.0010459314,0.0065759148,2.328e-05,24.66,0,14.14,3.45,0,1.9,3.97,0,51.9,0,13,27,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26578992663019e-05,-1.61499183611975e-12,960.520384979862,288.156115493959,3.486438e-05,10844922327.5918,5622.17485629252,72503.500289363,66881.3254330705,0.853497263267401,0.922850727100916
2015-11-28,2.118e-07,2.55101998590152e-07,1.08264327767071,1.3558105838796,13.3834628828267,0.3553454546,2.36929483853156,2.85406294694961,0.126403118623048,0.158734259229304,124.84,1014.6,79.32,23.82,45.3747674607383,3.16,38.1,106.4,36.29,3.474,1.1643,1.5086,0.0693,0.0056,0.0014,0.0147,0.0026,2.2511,0.0055,0.1405,0.2215,0.7186,10,0.990179700441598,-2.87116115731491,2e+06,0.000547573,0.0035110238,1.0846e-05,14.97,2.84,30.32,15.48,0,1.68,0,0,34.71,0,13,28,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26578992663019e-05,-1.61499183611975e-12,1882.98656131545,564.895968394635,1.82524333333333e-05,11308003677.1821,1607.65576163698,4886.07551995578,3278.4197583188,0.0809766386290724,0.1014418377256
2015-11-29,5.4e-07,5.77372288980333e-07,16.0674230538066,17.051831951546,13.3444302109799,3.7298333336,3.00131717712351,3.18305044764689,1.18214243278713,1.24175521980507,629.26,1016.58,79.54,25.2,75.8869753018908,2.46,38.4,107.88,36.29,3.474,1.1643,1.5086,0.0693,0.0056,0.0014,0.0147,0.0026,2.2511,0.0055,0.1405,0.2215,0.7186,10,9.9013253281035,21.0289496586396,2e+06,0.0012684086,0.0079464712,2.88e-05,9.94,4.09,5.46,15.98,0,9.55,0.19,0,50.29,4.48,13,29,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26578992663019e-05,-1.61499183611975e-12,793.782963142567,238.13488894277,4.22802866666667e-05,11308003677.1821,16075.7918027088,122586.101632529,106510.30982982,1.20514439423657,1.27929344126919
2015-11-30,5.298e-07,5.69078927447539e-07,8.46810708944717,10.3538530849371,12.709985913677,2.4782878788,2.23004762600042,2.70260602453706,0.679590976385325,0.823599749882495,618.36,1018.54,83.12,24.78,35.6928281368826,5.4,37.24,102.6,36.29,3.474,1.1643,1.5086,0.0693,0.0056,0.0014,0.0147,0.0026,2.2511,0.0055,0.1405,0.2215,0.7186,10,2.85992825209932,-2.69226869291734,2e+06,0.0012487564,0.0078323286,2.82e-05,0,1.15,6.15,10,0,1.15,0,0,80.77,0.77,13,30,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26578992663019e-05,-1.61499183611975e-12,803.365885566823,241.009765670047,4.16252133333333e-05,11308003677.1821,4643.37951010845,80053.9361112344,75410.556601126,0.666256213575718,0.814623490164179
2015-12-01,5.496e-07,5.86550187778795e-07,NA,NA,NA,1.7843333332,NA,NA,NA,NA,645.06,1017.38,79.58,25.04,36.3465142253963,6.76,35.82,102.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24414361300626,1.39359319626358,2e+06,0.0012886846,0.0080727878,2.932e-05,1.85,0,28.65,0,0,12.38,0,0,57.12,0,13,1,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26578992663019e-05,-1.61499183611975e-12,778.367036969442,233.510111090833,4.29561533333333e-05,NA,6890.79157007696,59822.5658760485,52931.7743059716,NA,NA
2015-12-02,5.41e-07,5.78151225255207e-07,3.29382956515447,3.41044735533901,8.39249146147371,1.4248333336,3.10919549454408,3.21471694824189,0.470924953384308,0.486071508732346,631.88,1016.74,75.78,24.96,54.678248916868,4.5,39.94,105.16,214.49,11.2502,1.9469,8.0751,0.1501,0.0174,0.0059,0.0202,0.0192,6.9759,0.017,0.4035,0.636,3.9869,10,7.77603029356797,10.3874641139763,2e+06,0.0012698668,0.0079571918,2.886e-05,29.75,0,16.78,0,0,6.49,0.22,0,46.76,0,13,2,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26578992663019e-05,-1.61499183611975e-12,789.922420104336,236.976726031301,4.23288933333333e-05,18908831365.7183,12625.1627846369,47109.5467290898,34484.3839444528,0.392024731825508,0.40593699517626
2015-12-03,5.3e-07,5.67162807859668e-07,4.75698106233723,5.03566141205373,6.75328585471702,2.1634333334,2.72724909687365,2.90697899345285,0.75194458335301,0.790898457871136,614.66,1016.06,81.32,24.5,35.8348636713382,5.8,38.24,106.18,306.538,9.61084,2.27722,6.2907,0.16666,0.01468,0.00678,0.02044,0.01696,5.8963,0.04716,0.40262,0.59232,3.32354,10,5.23253927228654,8.7007675185757,2e+06,0.0012452578,0.0078059568,2.826e-05,7.21,4.52,51.67,0,0,6.14,0,0,30.46,0,13,3,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26578992663019e-05,-1.61499183611975e-12,805.83705072452,241.751115217356,4.15085933333333e-05,22116990581.2528,8495.55076248442,70352.8645999674,61857.313837483,0.715516938106104,0.754739156518444
2019-08-15,6.94333333333333e-07,7.02312279219911e-07,37.2974323300817,37.6623789394468,20.3849996355411,4.62369230769231,2.53092634239764,2.56066819285906,1.80639738275148,1.82291010158502,836.533333333333,1014.13333333333,84.8,25.2333333333333,98.8673306312335,8.2,28.5333333333333,NA,31.47,9.38,0.71,2.24,0.11,NA,NA,0.05,NA,5.9,0.03,0.2,0.71,0.2,10,1.9611490652613,27.9114027394463,2e+06,0.00155393533333333,0.00966603633333333,3.83333333333333e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,2019,8,1.52805555555556,16.8305555555556,16.1166666666667,9.31666666666667,2.10277777777777,4.6527777777778,10.3444444444444,1,8.27,0.02,0,1.05,0.03,0.02,0.16,0.16,0.01,0.01,0,7.26578992663019e-05,-1.61499183611975e-12,643.879680703228,193.163904210968,5.17978444444444e-05,6895716405.3932,3184.12162235825,184558.16871392,181374.047091562,1.83058093542887,1.84832164458297
