date,ch1,ch2,hono,err
44974.36574,23.50785828,13.40999447,10.12715836,1.222249576
44974.36609,23.56851628,13.34567438,10.25221203,1.234754944
44974.36644,23.56723035,13.28135429,10.3152446,1.2410582
44974.36678,23.44205659,13.41019443,10.06107472,1.215641212
44974.36713,23.50271459,13.2814876,10.25051513,1.234585254
44974.36748,23.43948475,13.34594099,10.1227531,1.221809051
44974.36782,23.25236707,12.9596872,10.32165604,1.241699344
44974.36817,23.31302507,13.15291407,10.18916275,1.228450015
44974.36852,23.43562698,13.21736746,10.24746406,1.234280146
44974.36887,23.5582289,13.3462076,10.24137862,1.233671602
44974.36921,23.6188869,13.47504773,10.17327207,1.226860948
44974.36956,23.6795449,13.60388787,10.10516552,1.220050293
44974.36991,23.74020289,13.66834126,10.10144572,1.219678312
44974.37025,23.73891697,13.86156814,9.906931318,1.200226872
44974.3706,23.86151889,13.92602153,9.965232624,1.206057003
44974.37095,23.92217689,14.11924841,9.832739335,1.192807674
44974.3713,24.0447788,14.11931506,9.955427381,1.205076479
44974.37164,23.98154896,14.18376845,9.827665352,1.192300276
44974.37199,23.98026304,14.24822185,9.761924434,1.185726184
44974.37234,24.16480888,14.31267524,9.882246851,1.197758426
44974.37269,24.28741079,14.44151537,9.876161415,1.197149882
44974.37303,24.22418095,14.44158203,9.812786127,1.190812353
44974.37338,24.22289503,14.57042216,9.682658468,1.177799587
44974.37373,24.28355303,14.57048881,9.743325403,1.183866281
44974.37407,24.34421103,14.63494221,9.739605597,1.1834943
44974.37442,24.40486902,14.6993956,9.735885791,1.18312232
44974.37477,24.34163918,14.76384899,9.608123761,1.170346117
44974.37512,24.4642411,14.6995289,9.795198549,1.189053595
44974.37546,24.46295518,14.82836904,9.66507089,1.176040829
44974.37581,24.39972534,15.1503694,9.279761896,1.13750993
44974.37616,24.08871982,15.02166257,9.097075643,1.119241305
44974.3765,23.96354605,14.89295574,9.100452726,1.119579013
44974.37685,23.96226013,14.57108868,9.421032255,1.151636966
44974.3772,23.58931069,14.37799511,9.240711632,1.133604904
44974.37755,25.44634236,15.73018333,9.747869239,1.184320664
44974.37789,25.44505644,16.30973065,9.167034392,1.12623718
44974.37824,23.33767725,15.66592989,7.700829833,0.979616724
44974.37859,20.54891495,14.37826172,6.196260458,0.829159786
44974.37894,17.69820873,12.89743333,4.822830196,0.69181676
44974.37928,14.53778291,10.83712426,3.718775046,0.581411245
44974.37963,11.06763749,8.841201938,2.240227597,0.4335565
44974.37998,7.90721167,7.102826578,0.814238741,0.290957615
44974.38032,4.437066252,5.042517513,-0.599921967,0.149541544
44974.38067,1.586360031,3.175368672,-1.587031783,0.050830562
44974.38102,-0.0254678,2.209634206,-2.235133743,-0.013979634
44974.38137,-0.955912515,1.630220188,-2.587323923,-0.049198652
44974.38171,-1.204974115,1.372739876,-2.579215581,-0.048387818
44974.38206,-1.454035715,1.115259563,-2.571107239,-0.047576983
44974.38241,-1.455321637,0.857779251,-2.314914451,-0.021957705
44974.38275,-1.580495398,0.471525456,-2.053990404,0.0041347
