date,ch1,ch2,hono,error
44967.45734,-54.97736161,-54.32369305,,0.135775813
44967.45768,-52.93570176,-53.37845237,,0.135775813
44967.45803,-52.7669377,-53.20172669,,0.135775813
44967.45838,-53.33598107,-52.90676792,,0.135775813
44967.45873,-53.62125235,-52.49357609,,0.135775813
44967.45907,-53.73626038,-52.3168504,,0.135775813
44967.45942,-53.62425074,-52.31747433,,0.135775813
44967.45977,-53.22846901,-51.96339903,,0.135775813
44967.46012,-52.83268728,-51.49109065,,0.135775813
44967.46046,-52.55041438,-51.01878228,,0.135775813
44967.46081,-52.26814149,-50.84205659,,0.135775813
44967.46116,-52.15613184,-50.48798129,,0.135775813
44967.4615,-52.10087662,-50.42948869,,0.135775813
44967.46185,-52.04562139,-50.37099608,,0.135775813
44967.4622,-51.99036617,-50.31250347,,0.135775813
44967.46255,-51.87835653,-50.37224394,,0.135775813
44967.46289,-51.87985572,-50.2546348,,0.135775813
44967.46324,-51.8246005,-50.25525873,,0.135775813
44967.46359,-51.82609969,-50.19676612,,0.135775813
44967.46393,-51.82759888,-50.25650659,,0.135775813
44967.46428,-51.71558924,-50.19801398,,0.135775813
44967.46463,-51.83059727,-50.13952138,,0.135775813
44967.46498,-51.83209646,-50.08102877,,0.135775813
44967.46532,-51.72008682,-50.14076924,,0.135775813
44967.46567,-51.6648316,-49.96404355,,0.135775813
44967.46602,-51.66633079,-49.90555095,,0.135775813
44967.46637,-51.55432115,-49.7879418,,0.135775813
44967.46671,-51.55582034,-49.67033266,,0.135775813
44967.46706,-51.55731953,-49.67095659,,0.135775813
44967.46741,-51.1615378,-49.31688129,,0.135775813
44967.46775,-49.51715888,-48.48987368,,0.135775813
44967.4681,-46.05663858,-46.83523453,,0.135775813
44967.46845,-41.06374901,-45.53529461,,0.135775813
44967.4688,-34.3682269,-42.22539239,,0.135775813
44967.46914,-25.91331783,-37.49669323,,0.135775813
44967.46949,-16.72060133,-32.23594523,15.49465634,1.685241447
44967.46984,-7.527884836,-26.38403185,18.84683314,2.020459126
44967.47018,0.64325214,-20.23653577,20.88058377,2.22383419
44967.47053,7.111756581,-14.68020507,21.80076067,2.31585188
44967.47088,12.16140058,-9.59680669,21.77325395,2.313101208
44967.47123,15.56516645,-5.400156383,20.98458083,2.234233896
44967.47157,17.55007188,-1.972021079,19.54380678,2.090156491
44967.47192,18.39988896,0.155550378,18.26710384,1.962486196
44967.47227,18.34163535,1.337257218,17.02707131,1.838482944
44967.47262,17.88610081,1.868682134,16.03954825,1.739730638
44967.47296,17.14679419,1.868058202,15.29995085,1.665770898
44967.47331,16.23722431,1.51273504,14.74457877,1.61023369
44967.47366,15.44116326,1.0391788,14.42108904,1.577884717
44967.474,14.53159338,0.683855637,13.86571696,1.522347508
44967.47435,13.96255001,0.328532474,13.6512927,1.500905083
44967.4747,13.33675222,0.03232585,13.32092727,1.467868539
44967.47505,12.88121769,-0.322997312,13.22015228,1.457791041
44967.47539,12.42568315,-0.441854321,12.88291115,1.424066927
44967.47574,12.14041187,-0.619827868,12.77526046,1.413301858
44967.47609,11.911895,-0.679568338,12.60620133,1.396395946
44967.47643,11.85364139,-0.739308808,12.60761611,1.396537424
44967.47678,11.90889662,-0.799049277,12.72268017,1.40804383
44967.47713,12.07766068,-0.858789747,12.95139351,1.430915163
44967.47748,12.1329159,-0.80029714,12.94822449,1.430598262
44967.47782,12.18817113,-0.86003761,13.06328855,1.442104668
44967.47817,12.4136896,-0.860661541,13.28970998,1.464746811
44967.47852,12.46894483,-0.802168934,13.28654096,1.464429909
44967.47887,12.58095447,-0.861909404,13.45842966,1.481618779
44967.47921,12.69296411,-0.862533335,13.57120182,1.492895994
44967.47956,12.74821934,-0.804040728,13.5680328,1.492579092
44967.47991,12.74672014,-0.745548121,13.50803914,1.486579727
44967.48025,12.80197537,-0.746172052,13.56398666,1.492174479
44967.4806,12.91398501,-0.687679445,13.61764228,1.497540041
44967.48095,13.02599465,-0.747419915,13.78953098,1.51472891
44967.4813,13.08124988,-0.748043846,13.8454785,1.520323662
44967.48164,13.1365051,-0.571318162,13.7240764,1.508183453
44967.48199,13.24851475,-0.512825555,13.77773202,1.513549015
44967.48234,13.30376997,-0.454332948,13.774563,1.513232113
44967.48268,13.35902519,-0.39584034,13.77139398,1.512915211
44967.48303,13.357526,-0.45558081,13.82963341,1.518739153
44967.48338,13.29927239,-0.51532128,13.83104819,1.518880632
44967.48373,13.2977732,-0.279479057,13.59370492,1.495146305
44967.48407,13.18276517,-0.398336066,13.59741161,1.495516973
44967.48442,13.18126597,-0.339843459,13.53741795,1.489517608
44967.48477,13.00950353,-0.399583928,13.42518346,1.478294159
44967.48512,13.06475875,-0.459324398,13.54024752,1.489800565
