Date,channel 1,error,channel 2,error
10/02/2023 09:21,-0.096740717,-0.009167336,-0.093328265,-0.009191549
10/02/2023 09:22,-0.097243518,-0.009217616,-0.093329436,-0.009191666
10/02/2023 09:22,-0.09774632,-0.009267896,-0.093330606,-0.009191783
10/02/2023 09:22,-0.098247067,-0.009317971,-0.093530918,-0.009211814
10/02/2023 09:23,-0.099152669,-0.009408531,-0.09363326,-0.009222048
10/02/2023 09:24,-0.099955471,-0.009488811,-0.09363443,-0.009222165
10/02/2023 09:24,-0.098356498,-0.009328914,-0.093534859,-0.009212208
10/02/2023 09:25,-0.098059486,-0.009299213,-0.093636108,-0.009222333
10/02/2023 09:25,-0.098160233,-0.009309287,-0.09343642,-0.009202364
10/02/2023 09:25,-0.098463688,-0.009339633,-0.093537864,-0.009212509
10/02/2023 09:26,-0.098466489,-0.009339913,-0.093639034,-0.009222626
10/02/2023 09:26,-0.098569291,-0.009350193,-0.093740205,-0.009232743
10/02/2023 09:27,-0.098572092,-0.009350473,-0.093741375,-0.00923286
10/02/2023 09:27,-0.098674893,-0.009360754,-0.093842546,-0.009242977
10/02/2023 09:28,-0.098877695,-0.009381034,-0.093843716,-0.009243094
10/02/2023 09:28,-0.098880496,-0.009381314,-0.093844887,-0.009243211
10/02/2023 09:29,-0.098883297,-0.009381594,-0.093746057,-0.009233328
10/02/2023 09:29,-0.098886099,-0.009381874,-0.093947228,-0.009253445
10/02/2023 09:30,-0.0989889,-0.009392154,-0.093948398,-0.009253562
10/02/2023 09:30,-0.098891701,-0.009382434,-0.093949569,-0.009253679
10/02/2023 09:31,-0.098794503,-0.009372714,-0.094050739,-0.009263796
10/02/2023 09:31,-0.098597304,-0.009352995,-0.09405191,-0.009263913
10/02/2023 09:32,-0.099600105,-0.009453275,-0.094053081,-0.00926403
10/02/2023 09:32,-0.099601039,-0.009453368,-0.094153471,-0.009274069
10/02/2023 09:32,-0.099202626,-0.009413527,-0.094154134,-0.009274136
10/02/2023 09:33,-0.09920328,-0.009413592,-0.094154407,-0.009274163
10/02/2023 09:33,-0.099306642,-0.009423928,-0.094055812,-0.009264303
10/02/2023 09:34,-0.099309443,-0.009424208,-0.094156982,-0.00927442
10/02/2023 09:34,-0.099412244,-0.009434489,-0.094058153,-0.009264537
10/02/2023 09:35,-0.099215046,-0.009414769,-0.093859323,-0.009244655
10/02/2023 09:35,-0.099317847,-0.009425049,-0.093960494,-0.009254772
10/02/2023 09:36,-0.099220648,-0.009415329,-0.093861664,-0.009244889
10/02/2023 09:36,-0.09932345,-0.009425609,-0.094062835,-0.009265006
10/02/2023 09:37,-0.099326251,-0.009425889,-0.093864006,-0.009245123
10/02/2023 09:37,-0.099229052,-0.009416169,-0.093565176,-0.00921524
10/02/2023 09:38,-0.099231854,-0.00941645,-0.093266347,-0.009185357
10/02/2023 09:38,-0.099732507,-0.009466515,-0.09306662,-0.009165384
10/02/2023 09:39,-0.09963811,-0.009457075,-0.092368961,-0.009095618
10/02/2023 09:39,-0.099640911,-0.009457355,-0.092370131,-0.009095735
10/02/2023 09:40,-0.099543713,-0.009447635,-0.092371302,-0.009095852
10/02/2023 09:40,-0.099546514,-0.009447916,-0.092672472,-0.009125969
10/02/2023 09:41,-0.099549315,-0.009448196,-0.092873643,-0.009146086
10/02/2023 09:41,-0.099652117,-0.009458476,-0.092874813,-0.009146204
10/02/2023 09:42,-0.099554918,-0.009448756,-0.093075984,-0.009166321
10/02/2023 09:42,-0.099557719,-0.009449036,-0.093277155,-0.009186438
10/02/2023 09:43,-0.099560521,-0.009449316,-0.093578325,-0.009216555
10/02/2023 09:43,-0.099463322,-0.009439596,-0.093779496,-0.009236672
10/02/2023 09:44,-0.099566123,-0.009449877,-0.093980666,-0.009256789
10/02/2023 09:44,-0.099468925,-0.009440157,-0.093981837,-0.009256906
10/02/2023 09:45,-0.099471726,-0.009440437,-0.094283007,-0.009287023
10/02/2023 09:45,-0.099474527,-0.009440717,-0.094284178,-0.00928714
10/02/2023 09:46,-0.099477329,-0.009440997,-0.094385348,-0.009297257
10/02/2023 09:46,-0.09958013,-0.009451277,-0.094486519,-0.009307374
10/02/2023 09:47,-0.099582931,-0.009451557,-0.094587689,-0.009317491
10/02/2023 09:47,-0.099485733,-0.009441837,-0.09458886,-0.009317608
10/02/2023 09:48,-0.099388534,-0.009432118,-0.09459003,-0.009317725
10/02/2023 09:48,-0.099291335,-0.009422398,-0.094691201,-0.009327842
10/02/2023 09:49,-0.099294137,-0.009422678,-0.094792371,-0.009337959
10/02/2023 09:49,-0.099296938,-0.009422958,-0.094793542,-0.009338076
10/02/2023 09:50,-0.099399739,-0.009433238,-0.094794713,-0.009338193
